,condition,sujet,ERD,Baseline
0,1,0,-0.18366575971855087,6.46e-11
1,1,0,-0.1176936189313482,9.5e-11
2,1,0,-0.06547795156650517,1.21e-10
3,1,0,-0.025277454405551403,8.82e-11
4,1,0,-0.018871814947995714,1.22e-10
5,2,0,0.18800781980651363,1.78e-11
6,2,0,0.13672524960193777,1.3e-11
7,2,0,0.2675356696090914,1.96e-11
8,2,0,0.17480636320156137,1.53e-11
9,2,0,0.20142536547436132,1.85e-11
10,3,0,0.356627740972038,1.2e-10
11,3,0,0.37861657470470783,3.65e-10
12,3,0,0.39471103854183887,2.15e-10
13,3,0,0.3329992017390235,3.26e-10
14,3,0,0.361902637582402,3.11e-10
15,1,2,-0.057436701453211794,5.93e-11
16,1,2,-0.04744127077744486,7.69e-11
17,1,2,0.18387158029582829,4.56e-11
18,1,2,0.11102497579437966,5.62e-11
19,1,2,0.48582026937288497,3.34e-11
20,2,2,0.3648635498704521,3.82e-11
21,2,2,0.3980277360699529,3.34e-11
22,2,2,0.4281020553847793,3.34e-11
23,2,2,0.4434605467042001,3.05e-11
24,2,2,0.4021310615288994,2.77e-11
25,3,2,0.349709124504125,4.28e-11
26,3,2,0.24020245078600866,4.75e-11
27,3,2,0.03185711561580425,2.63e-11
28,3,2,0.33983775067473143,3.31e-11
29,3,2,0.006703686294508438,4.77e-11
30,1,4,-0.1155732880282703,6.19e-11
31,1,4,-0.21376703083085083,6.45e-11
32,1,4,-0.22288401704796124,1.09e-10
33,1,4,-0.2658226874366144,7.43e-11
34,1,4,-0.24642909923707285,4.61e-11
35,2,4,-0.266331526958096,1.92e-10
36,2,4,-0.2996534668351775,9.43e-11
37,2,4,-0.28412924512577975,
38,2,4,-0.29121501337038197,1.35e-10
39,2,4,-0.2188717655025802,
40,3,4,-0.11382273170283895,8.62e-11
41,3,4,-0.10069638818542019,9.25e-11
42,3,4,-0.005997694145953549,1.09e-10
43,3,4,0.0037536489671206115,1.05e-10
44,3,4,0.010797418526321108,9.75e-11
45,1,5,0.013948476426705023,3.13e-10
46,1,5,-0.10298416072024953,1.61e-10
47,1,5,-0.04726808158591366,2.47e-10
48,1,5,-0.0049287550080927755,1.34e-10
49,1,5,0.3466178067999929,
50,2,5,-0.012305367427358332,3.91e-11
51,2,5,0.008937960129185749,3.31e-11
52,2,5,0.08619028373451056,4.34e-11
53,2,5,0.08675518298416528,2.7e-11
54,2,5,0.04314387495798665,4.45e-11
55,3,5,0.49888463778846714,1.45e-10
56,3,5,0.4609395837803588,2.3e-10
57,3,5,0.2579034619797088,1.83e-10
58,3,5,0.41818040691737696,1.48e-10
59,3,5,0.2830183928212617,1.6e-10
60,1,6,0.11350643629221756,5.29e-11
61,1,6,0.1350390635126254,1.12e-10
62,1,6,0.1430760590851294,7.37e-11
63,1,6,0.10378136978218513,6.17e-11
64,1,6,0.10578838251307342,8.61e-11
65,2,6,0.11071006045686564,5.82e-11
66,2,6,0.14874165128092406,1e-10
67,2,6,0.2532681561696446,7.01e-11
68,2,6,0.19361294569831494,3.43e-11
69,2,6,0.18922227208873416,9.31e-11
70,3,6,0.08038594718599429,6.97e-11
71,3,6,0.09922009548613155,7.36e-11
72,3,6,0.09127605344516825,1.09e-10
73,3,6,0.1294392378349757,8.73e-11
74,3,6,0.11800738817418918,1.3e-10
75,1,7,0.32691716127938264,3.81e-11
76,1,7,0.328870182477282,7.63e-11
77,1,7,0.37645303546448705,4.07e-11
78,1,7,0.3632985230168231,2.94e-11
79,1,7,0.3956822528457474,4.74e-11
80,2,7,-0.10074709686454897,3.57e-11
81,2,7,-0.07763982657003841,5.1e-11
82,2,7,0.0402212900262035,
83,2,7,0.03476210625921058,1.52e-10
84,2,7,0.014396072329642186,1.18e-10
85,3,7,0.06341676484443894,6.56e-11
86,3,7,0.08417893620313495,7.54e-11
87,3,7,0.09186227780671534,6.05e-11
88,3,7,0.08793908507643979,6.91e-11
89,3,7,0.12385164096708583,5.11e-11
90,1,8,0.19140801713978595,4.54e-11
91,1,8,0.17236338653643887,2.6e-11
92,1,8,0.2915547861175552,4.43e-11
93,1,8,0.43307885398732077,3.02e-11
94,1,8,0.33122824361760783,4.2e-11
95,2,8,-0.17392519729917352,
96,2,8,-0.08712872960734791,9.33e-11
97,2,8,-0.08325369567874985,8.53e-11
98,2,8,-0.049310682043672074,1.19e-10
99,2,8,-0.07976069173985853,9.3e-11
100,3,8,0.07226672174333419,1.15e-10
101,3,8,0.04511835213494181,2.55e-10
102,3,8,-0.050354919868919,1.52e-10
103,3,8,-0.009324599756250026,1.82e-10
104,3,8,-0.048605333433501624,2.41e-10
105,1,9,0.20862048388260213,3.84e-11
106,1,9,0.1580272589779461,5.91e-11
107,1,9,0.21140979650171224,2.39e-11
108,1,9,0.22012625593655735,5.38e-11
109,1,9,0.23486162426604737,2.17e-11
110,2,9,-0.005724755511608085,3.03e-11
111,2,9,0.14797061155163282,3.04e-11
112,2,9,0.1284787631009175,2.61e-11
113,2,9,0.10307032171287386,2.42e-11
114,2,9,0.12377388705372586,2.53e-11
115,3,9,-0.06907271786707304,9.26e-11
116,3,9,0.01103700417695564,7.31e-11
117,3,9,0.034835281403765316,1.04e-10
118,3,9,0.05572657597813832,1.11e-10
119,3,9,0.08259663039612983,1.2e-10
120,1,10,0.2591313022067074,1.45e-11
121,1,10,0.3590090415921059,1.84e-11
122,1,10,0.31153228737218575,1.64e-11
123,1,10,0.30298651234731727,2.15e-11
124,1,10,0.29978974403981923,1.78e-11
125,2,10,0.267264141315779,1.22e-10
126,2,10,0.2574517991021929,3.06e-10
127,2,10,0.2668018799821908,3.28e-10
128,2,10,0.31573900374432384,1.33e-10
129,2,10,0.3552116113458719,2.56e-10
130,3,10,-0.07007297889940749,6.89e-11
131,3,10,0.06509082748164316,4.43e-11
132,3,10,0.04178535650676831,4.63e-11
133,3,10,0.05378534357264213,5.97e-11
134,3,10,0.07909120883741094,7.03e-11
135,1,11,0.22935605884147148,5.51e-11
136,1,11,0.2451820113186957,4.17e-11
137,1,11,0.2800976366489846,4.87e-11
138,1,11,0.2952241707033892,5.57e-11
139,1,11,0.3603519993825548,4.9e-11
140,2,11,-0.15404111831260703,5.95e-11
141,2,11,-0.27074519175951356,3.54e-11
142,2,11,-0.20142607825105333,5.73e-11
143,2,11,0.12267087515247824,5.34e-11
144,2,11,0.33069554490381237,5.59e-11
145,3,11,-0.12928033198044775,1.59e-10
146,3,11,0.07310709833543043,8.11e-11
147,3,11,-0.09915621983138394,9.73e-11
148,3,11,-0.2141054860878062,3.9e-11
149,3,11,0.003022624855966975,7.41e-11
150,1,12,-0.04960423388452065,2.66e-10
151,1,12,0.011026404228045336,1.79e-10
152,1,12,0.045385078519644136,2.21e-10
153,1,12,0.05423599416605873,2.89e-10
154,1,12,0.07929612357293499,1.53e-10
155,2,12,0.16648561828222377,7.45e-11
156,2,12,0.07469710700133714,8.59e-11
157,2,12,0.11637249277748965,1.1e-10
158,2,12,0.08991737116026641,1.1e-10
159,2,12,-0.01612950030053567,9.18e-11
160,3,12,0.0719586768238276,1.95e-10
161,3,12,-0.04617657240531823,1.72e-10
162,3,12,0.21080696385302947,1.87e-10
163,3,12,0.06945996302028119,2.64e-10
164,3,12,0.030003433967899545,2.2e-10
165,1,13,-0.006318889607598303,3.9e-11
166,1,13,-0.01974405819575738,3.61e-11
167,1,13,0.010824735089569918,5.1e-11
168,1,13,0.0765306412737831,3.08e-11
169,1,13,-0.015008601431433418,3e-11
170,2,13,0.6219007999587693,
171,2,13,0.6449751078417847,1.2e-10
172,2,13,0.374932825985562,6.75e-11
173,2,13,0.5596822414186678,1.59e-10
174,2,13,0.4795773094636595,1.1e-10
175,3,13,0.1622480318813923,2.4e-10
176,3,13,0.06937302209674097,1.23e-10
177,3,13,0.03698356625317038,6.12e-11
178,3,13,0.045246255090336036,4.56e-11
179,3,13,0.024555417935773753,1.37e-10
180,1,14,-0.0014138736803569404,4.12e-11
181,1,14,-0.003899282867267015,6.13e-11
182,1,14,0.06852354317977608,5.14e-11
183,1,14,0.12646525656977103,5.22e-11
184,1,14,0.09103595795431564,6e-11
185,2,14,0.06466593487700417,4.81e-11
186,2,14,-0.021008380724516697,1.13e-10
187,2,14,0.019808393353553864,1.45e-10
188,2,14,0.07554696139253074,3.07e-10
189,2,14,0.03028480390446678,8.68e-11
190,3,14,-0.32655086797643446,3.75e-11
191,3,14,-0.2568546361131804,4.62e-11
192,3,14,-0.33334967887541994,3.92e-11
193,3,14,-0.2380493932509694,4.65e-11
194,3,14,-0.23089880263878207,5.11e-11
195,1,15,-0.24780923054012577,3.28e-11
196,1,15,-0.19482650267029364,8.42e-11
197,1,15,-0.20476385895162993,7.04e-11
198,1,15,-0.21440655679789059,7.55e-11
199,1,15,-0.18956833286378877,1.53e-10
200,2,15,-0.04468648019814965,1.09e-10
201,2,15,-0.02764285553229755,5.79e-11
202,2,15,-0.07457330380727145,9.09e-11
203,2,15,-0.12429581349768903,9.38e-11
204,2,15,-0.08884239126002341,5.39e-11
205,3,15,0.06678767825975512,4.72e-11
206,3,15,-0.06862037352017925,3.44e-11
207,3,15,-0.04308490069934805,4.74e-11
208,3,15,-0.043289901638676694,4.39e-11
209,3,15,0.17633864982392186,4.87e-11
210,1,16,-0.20373411458797835,
211,1,16,-0.24277272756499688,5.75e-11
212,1,16,-0.28195988465040467,9.68e-11
213,1,16,-0.2189630613788682,4.23e-11
214,1,16,-0.19806299259551557,7.46e-11
215,2,16,-0.05807305529464714,2.72e-10
216,2,16,-0.18665016645417035,9.01e-11
217,2,16,-0.16807588326042164,2.19e-10
218,2,16,-0.17206507986354866,2.46e-10
219,2,16,-0.1932438328137962,2.66e-10
220,3,16,-0.3542230597598994,2.07e-11
221,3,16,-0.2827225550910811,6.29e-11
222,3,16,-0.23928439971917567,7.64e-11
223,3,16,-0.2601860085975735,3.68e-11
224,3,16,-0.26349283534999707,7.94e-11
225,1,17,-0.12220694226430981,3.82e-11
226,1,17,-0.13093737454339172,2.35e-11
227,1,17,-0.15926418643468176,5.83e-11
228,1,17,-0.20879179292353509,5.11e-11
229,1,17,-0.10298416072024953,2.21e-11
230,2,17,-0.17653755904553153,8.66e-11
231,2,17,-0.11985367845380485,9.21e-11
232,2,17,-0.09031390458037378,1.39e-10
233,2,17,-0.0873583919739292,5.83e-11
234,2,17,-0.09650873477642455,6.69e-11
235,3,17,-0.1348390995359263,
236,3,17,-0.12609943524636932,1.64e-11
237,3,17,-0.1142525687541492,1.47e-11
238,3,17,-0.17124036619338215,1.64e-11
239,3,17,-0.13788029725300058,2.24e-11
240,1,18,0.31543718251798086,7.83e-11
241,1,18,0.3179307462021827,2.48e-10
242,1,18,0.3116697850740943,1.81e-10
243,1,18,0.3257338829789441,3.86e-10
244,1,18,0.3112491608456678,2.28e-10
245,2,18,-0.0876906791886708,4.82e-11
246,2,18,-0.1271047983648076,2.64e-11
247,2,18,-0.04913160450615082,3.22e-11
248,2,18,-0.0842668723324016,3.38e-11
249,2,18,-0.009502106674723315,7.5e-11
250,3,18,-0.0876906791886708,1.47e-10
251,3,18,-0.1271047983648076,1.1e-10
252,3,18,-0.04913160450615082,1.97e-10
253,3,18,-0.0842668723324016,4.31e-11
254,3,18,-0.009502106674723315,
255,1,19,-0.12606614735577715,7.85e-11
256,1,19,-0.12269265744356891,6.73e-11
257,1,19,-0.26738289510556057,6.32e-11
258,1,19,-0.3090659512605235,7.75e-11
259,1,19,0.21981729828570082,8.24e-11
260,2,19,0.07566280414645922,4.12e-11
261,2,19,0.36310436484639663,8.93e-11
262,2,19,0.28265447581871705,4.73e-11
263,2,19,-0.02068291750622625,6.74e-11
264,2,19,-0.071961980002093,8.49e-11
265,3,19,0.14617727262425784,
266,3,19,0.11436736452690083,1.75e-10
267,3,19,0.14985422478439991,6.69e-11
268,3,19,0.1611302280807175,2.28e-10
269,3,19,0.18406018872695717,3.52e-10
270,1,20,-0.09268943088994464,8.63e-11
271,1,20,0.12927130802097359,8.28e-11
272,1,20,0.04084398706640769,7.78e-11
273,1,20,0.035318537446030945,1.18e-10
274,1,20,0.025547641708798408,1.77e-10
275,2,20,0.8247867820583357,2.45e-10
276,2,20,0.4642363469180849,2.76e-10
277,2,20,0.44444136664021283,1.71e-10
278,2,20,0.2469594701993885,1.93e-10
279,2,20,0.41044246539493273,1.98e-10
280,3,20,-0.013583749490938808,3.11e-11
281,3,20,-0.01974405819575738,2.76e-11
282,3,20,-0.022276394711152253,3.32e-11
283,3,20,-0.014723256820706198,2.85e-11
284,3,20,-0.028783074602586597,3.72e-11
285,1,21,0.749908007400474,1.16e-10
286,1,21,0.8508121011387744,1.83e-10
287,1,21,0.6035465615556276,1.77e-10
288,1,21,0.6539323899196552,1.22e-10
289,1,21,0.6504053444221713,1.55e-10
290,2,21,0.02213444521425239,4.01e-11
291,2,21,0.10489752172499622,1.28e-10
292,2,21,0.07537995716747575,7.48e-11
293,2,21,0.1137249492436963,1.13e-10
294,2,21,0.08598740532710654,1.52e-10
295,3,21,0.08401632164426867,3.07e-11
296,3,21,0.14294032230151024,5.92e-11
297,3,21,0.07599353267089805,3.94e-11
298,3,21,0.2092215634798075,5.93e-11
299,3,21,0.18301522280011925,1.02e-10
300,1,22,0.06487378100774756,6.99e-11
301,1,22,0.0941992941110788,9.35e-11
302,1,22,0.07514126824588517,1.78e-10
303,1,22,0.039193721058285044,5.72e-11
304,1,22,0.006466042249231681,6.7e-11
305,2,22,0.19700194096648654,4.65e-11
306,2,22,0.2512325273015652,2.95e-11
307,2,22,0.21741747226429903,4.57e-11
308,2,22,0.22564860489513594,5.46e-11
309,2,22,0.25642859617565483,3.46e-11
310,3,22,-0.11644370816656742,4.89e-11
311,3,22,-0.07514662993925215,8.34e-11
312,3,22,-0.010747993533222132,5.15e-11
313,3,22,0.03088445119600865,
314,3,22,0.012212115591270877,4.77e-11
315,1,23,0.08198703464697048,5.46e-11
316,1,23,0.09439347899332438,5.27e-11
317,1,23,0.14853410544411716,5.62e-11
318,1,23,0.14440121637773068,7.61e-11
319,1,23,0.17753649992986212,5.72e-11
320,2,23,0.38520893186711613,3.43e-11
321,2,23,0.29174443436594133,3.14e-11
322,2,23,0.2525833665925251,3.99e-11
323,2,23,0.2674725905431396,3.68e-11
324,2,23,0.29410807621806984,4.66e-11
325,3,23,0.11365772619861121,9.16e-72
326,3,23,0.1076157711021174,2.89e-11
327,3,23,0.1918855262389144,6.23e-11
328,3,23,0.19473960758567108,8.07e-11
329,3,23,0.20191041967416828,9.13e-11
330,1,24,-0.035318340326213844,2.12e-10
331,1,24,-0.07443851346419578,9.17e-11
332,1,24,-0.01413637229639047,1.4e-10
333,1,24,-0.02197770523452073,1.62e-10
334,1,24,-0.030115313899713343,1.95e-10
335,2,24,-0.013943973493180916,2.3e-11
336,2,24,-0.15425616881559137,3.43e-11
337,2,24,-0.21314017545990868,4.37e-11
338,2,24,0.03210927847809509,2.25e-11
339,2,24,-0.1132351855272226,2.47e-11
340,3,24,-0.15261016320615814,2.36e-11
341,3,24,-0.07311156640864082,3.37e-11
342,3,24,-0.1157432330439013,2.32e-11
343,3,24,0.04163632863272476,2.44e-11
344,3,24,0.07182141934817156,3.1e-11
