numSujet,essai,1,2,3,4,5
,mean,"7,86E-11","9,82E-11","8,76E-11","8,76E-11","8,84E-11"
0,VD,"6,46E-11","9,50E-11","1,21E-10","8,82E-11","1,22E-10"
2,BD,"1,78E-11","1,30E-11","1,96E-11","1,53E-11","1,85E-11"
3,AZ,"1,20E-10","3,65E-10","2,15E-10","3,26E-10","3,11E-10"
5,DN,"5,93E-11","7,69E-11","4,56E-11","5,62E-11","3,34E-11"
6,RK,"3,82E-11","3,34E-11","3,34E-11","3,05E-11","2,77E-11"
7,SM,"4,28E-11","4,75E-11","2,63E-11","3,31E-11","4,77E-11"
8,MP,"6,19E-11","6,45E-11","1,09E-10","7,43E-11","4,61E-11"
9,MB,"1,92E-10","9,43E-11",_,"1,35E-10",_
10,VC,"8,62E-11","9,25E-11","1,09E-10","1,05E-10","9,75E-11"
11,MG,"3,13E-10","1,61E-10","2,47E-10","1,34E-10",_
12,SY,"3,91E-11","3,31E-11","4,34E-11","2,70E-11","4,45E-11"
13,CC,"1,45E-10","2,30E-10","1,83E-10","1,48E-10","1,60E-10"
14,AB,"5,29E-11","1,12E-10","7,37E-11","6,17E-11","8,61E-11"
15,VR,"5,82E-11","1,00E-10","7,01E-11","3,43E-11","9,31E-11"
16,QH,"6,97E-11","7,36E-11","1,09E-10","8,73E-11","1,30E-10"
17,YK,"3,81E-11","7,63E-11","4,07E-11","2,94E-11","4,74E-11"
18,AT,"3,57E-11","5,10E-11",_,"1,52E-10","1,18E-10"
19,VD,"6,56E-11","7,54E-11","6,05E-11","6,91E-11","5,11E-11"
20,JG,"4,54E-11","2,60E-11","4,43E-11","3,02E-11","4,20E-11"
21,NN,_,"9,33E-11","8,53E-11","1,19E-10","9,30E-11"
22,MO,"1,15E-10","2,55E-10","1,52E-10","1,82E-10","2,41E-10"
23,DM,"3,84E-11","5,91E-11","2,39E-11","5,38E-11","2,17E-11"
24,DM,"3,03E-11","3,04E-11","2,61E-11","2,42E-11","2,53E-11"