num_Sujet,pendule,main,mainIllusion
moy,"8,81E-11","9,66E-11","8,95E-11"
0,"9,82E-11","1,00E-10","8,86E-11"
2,"1,68E-11","1,77E-11","1,75E-11"
3,"2,67E-10","2,29E-10","2,24E-10"
5,"5,43E-11","5,79E-11","4,31E-11"
6,"3,26E-11","5,00E-11","1,24E-10"
7,"3,95E-11","5,23E-11","7,38E-11"
8,"7,12E-11","9,01E-11","6,60E-11"
9,"1,40E-10","2,21E-10","2,05E-10"
10,"9,80E-11","9,46E-11","1,08E-10"
11,"2,14E-10","2,07E-10","2,17E-10"
12,"3,74E-11","3,74E-11","3,15E-11"
13,"1,73E-10","1,14E-10","1,51E-10"
14,"7,72E-11","1,21E-10","1,01E-10"
15,"7,11E-11","5,32E-11","5,82E-11"
16,"9,39E-11","1,40E-10","9,31E-11"
17,"4,64E-11","4,41E-11","4,22E-11"
18,"8,92E-11","8,32E-11","5,79E-11"
19,"6,43E-11","8,12E-11","5,94E-11"
20,"3,76E-11","4,43E-11","3,78E-11"
21,"9,76E-11","6,78E-11","5,26E-11"
22,"1,89E-10","2,19E-10","1,60E-10"
23,"3,94E-11","5,52E-11","2,96E-11"
24,0,0,"2,72E-11"